,Race Placement,Bib Number,Participant Name,Chip Time,Pace,Gender,Age,City,State / Province,Fire Tower Rank,Fire Tower Time,Fire Tower Pace,Hwy OO Rank,Hwy OO Time,Hwy OO Pace,Boedecker Rank,Boedecker Time,Boedecker Pace,Timber Tr Rank,Timber Tr Time,Timber Tr Pace,TT to Fin Rank,TT to Fin Time,TT to Fin Pace,Age Group Place,Age Group Description
133,134,14437,David Miller,5:12:42.4,6:57,M,25,Sheboygan,WI,139,1:12:11,6:01,135,2:10:26,6:13,140,2:51:16,6:28,138,4:26:40,6:56,134,5:12:42,6:57,,
134,135,13573,Keith Olson,5:13:19.9,6:58,M,58,Springfield,MN,134,1:10:21,5:52,130,2:08:32,6:07,133,2:47:41,6:20,136,4:25:17,6:53,135,5:13:20,6:58,,
135,136,13414,Joel Beithon,5:16:07.2,7:01,M,55,Northfield,MN,129,1:09:42,5:49,120,2:04:14,5:55,123,2:44:09,6:12,137,4:26:27,6:55,136,5:16:07,7:01,,
136,137,70320,David Dahl,5:16:30.1,7:02,M,71,Maple Grove,MN,166,1:25:00,7:05,159,2:26:20,6:58,155,3:05:11,6:59,141,4:32:09,7:04,137,5:16:30,7:02,,
137,138,13122,Greg Konieczny,5:18:24.4,7:04,M,66,Arlington Heights,IL,156,1:18:43,6:33,146,2:18:15,6:35,151,3:04:04,6:57,142,4:33:04,7:06,138,5:18:24,7:04,,
138,139,70427,Ken Drivdahl,5:20:21.9,7:07,M,70,Northfield,MN,190,1:34:31,7:53,163,2:30:21,7:09,160,3:09:33,7:09,147,4:35:08,7:09,139,5:20:22,7:07,,
139,140,11408,Timothy Martin,5:21:59.3,7:09,M,39,Stillwater,MN,126,1:08:52,5:44,133,2:09:37,6:10,138,2:49:46,6:25,139,4:29:53,7:01,140,5:21:59,7:09,,
140,141,12311,Gus Virkus,5:23:32.0,7:11,M,71,St Louis Park,MN,148,1:16:25,6:22,148,2:19:36,6:39,146,2:58:48,6:45,144,4:34:34,7:08,141,5:23:32,7:11,,
141,142,16464,Steve Imhoff,5:24:23.9,7:12,M,38,Minneapolis,MN,159,1:20:02,6:40,144,2:16:00,6:28,143,2:54:06,6:34,148,4:37:20,7:12,142,5:24:24,7:12,,
142,143,13020,Robert Rickert,5:25:07.7,7:14,M,64,Aurora,IL,136,1:11:15,5:56,137,2:11:28,6:15,134,2:48:27,6:22,143,4:34:04,7:07,143,5:25:08,7:14,,
143,144,11123,Bart Richardson,5:25:54.9,7:14,M,58,St. Paul,MN,111,1:06:27,5:32,132,2:09:33,6:10,135,2:49:21,6:23,145,4:34:34,7:08,144,5:25:55,7:14,,
144,145,12138,Robert Skow,5:27:04.9,7:16,M,73,Saint Cloud,MN,151,1:17:31,6:28,147,2:18:44,6:36,147,2:59:46,6:47,146,4:34:45,7:08,145,5:27:05,7:16,,
145,146,16434,Megan Pinkowski,5:27:38.3,7:17,F,23,Maple Grove,MN,162,1:22:47,6:54,154,2:24:07,6:52,153,3:04:38,6:58,151,4:40:25,7:17,146,5:27:38,7:17,,
146,147,14120,David Deverell,5:28:08.0,7:17,M,57,Plover,WI,160,1:21:05,6:45,157,2:25:36,6:56,157,3:05:27,7:00,149,4:38:40,7:14,147,5:28:08,7:17,,
147,148,13569,Daniel Everson,5:28:29.6,7:18,M,46,Sun Prairie,WI,147,1:16:11,6:21,149,2:21:05,6:43,152,3:04:33,6:58,150,4:38:53,7:14,148,5:28:30,7:18,,
148,149,14471,Tyler Rudolph,5:30:51.7,7:21,M,27,Boulder,CO,196,1:37:38,8:08,188,2:47:27,7:58,186,3:34:47,8:07,161,4:49:33,7:31,149,5:30:52,7:21,,
149,150,13406,Keith Behrend,5:32:00.9,7:22,M,43,Verona,WI,128,1:09:41,5:49,141,2:14:53,6:25,144,2:56:53,6:40,153,4:41:37,7:19,150,5:32:01,7:22,,
150,151,12492,Andrew Stroebel,5:33:33.3,7:25,M,24,Minneapolis,MN,87,1:02:14,5:11,90,1:54:50,5:28,91,2:31:27,5:43,121,4:14:52,6:37,151,5:33:33,7:25,,
151,152,12321,Robert Stroebel,5:33:35.3,7:25,M,60,Rochester,MN,89,1:02:16,5:11,89,1:54:36,5:27,90,2:31:16,5:42,119,4:13:53,6:36,152,5:33:35,7:25,,
152,153,13454,Laura Crosby,5:34:12.3,7:26,F,56,Eden Prairie,MN,154,1:18:12,6:31,156,2:25:03,6:54,162,3:09:44,7:09,152,4:40:35,7:17,153,5:34:12,7:26,,
153,154,14474,Laura Christianson,5:34:23.8,7:26,F,31,Minneapolis,MN,176,1:28:58,7:25,166,2:32:17,7:15,164,3:13:20,7:17,157,4:45:23,7:25,154,5:34:24,7:26,,
154,155,16460,Charlie McGlynn,5:34:44.5,7:26,M,36,Minneapolis,MN,163,1:23:20,6:57,160,2:27:16,7:01,159,3:08:50,7:08,155,4:43:16,7:21,155,5:34:45,7:26,,
155,156,13384,Terry Dahmen,5:35:11.1,7:27,M,67,Lacrosse,WI,153,1:17:57,6:30,155,2:24:12,6:52,156,3:05:25,7:00,154,4:43:11,7:21,156,5:35:11,7:27,,
156,157,35031,Ernie Brumbaugh,5:37:35.3,7:30,M,74,Grayling,MI,174,1:28:47,7:24,162,2:28:45,7:05,158,3:07:28,7:04,156,4:44:51,7:24,157,5:37:35,7:30,,
157,158,14435,Elizabeth Fruehling,5:38:46.1,7:32,F,51,North Oaks,MN,171,1:27:27,7:17,167,2:32:49,7:17,165,3:14:38,7:21,,,,158,5:38:46,7:32,,
158,159,13591,Michael Stone,5:41:30.0,7:35,M,29,Chicago,IL,158,1:18:52,6:35,153,2:24:00,6:51,149,3:03:25,6:55,160,4:48:55,7:30,159,5:41:30,7:35,,
159,160,13428,Lowell Hall,5:41:31.6,7:35,M,30,Wilmette,IL,157,1:18:51,6:34,152,2:23:56,6:51,150,3:03:34,6:56,159,4:48:38,7:30,160,5:41:32,7:35,,
160,161,16419,Kevin Kehn,5:41:35.6,7:35,M,52,Champlin,MN,161,1:21:56,6:49,151,2:22:40,6:48,148,3:02:36,6:53,158,4:48:34,7:30,161,5:41:36,7:35,,
161,162,15439,Suzanne Scheller,5:43:53.4,7:39,F,52,Champlin,MN,169,1:26:46,7:14,165,2:32:02,7:14,166,3:14:38,7:21,162,4:49:49,7:32,162,5:43:53,7:39,,
162,163,13469,Jay Arneson,5:44:48.5,7:40,M,65,Spring Valley,WI,146,1:15:39,6:18,168,2:35:16,7:24,168,3:18:32,7:29,165,4:53:50,7:38,163,5:44:49,7:40,,
163,164,12409,Ian Boylan,5:45:29.7,7:40,M,19,Saint Paul,MN,140,1:13:00,6:05,158,2:25:49,6:57,161,3:09:43,7:09,166,4:58:55,7:46,164,5:45:30,7:40,,
164,165,13115,Steve Wagner,5:45:51.2,7:41,M,54,Chippewa Falls,WI,155,1:18:20,6:31,161,2:28:34,7:04,163,3:12:15,7:15,163,4:52:50,7:36,165,5:45:51,7:41,,
165,166,13330,Dean Gruber,5:48:44.7,7:45,M,46,Whitefish Bay,WI,167,1:25:29,7:08,171,2:38:01,7:32,182,3:32:56,8:02,167,5:00:11,7:48,166,5:48:45,7:45,,
166,167,70328,Timothy Nelson,5:49:24.7,7:46,M,71,Arden Hills,MN,207,1:43:56,8:39,187,2:46:46,7:57,175,3:26:55,7:49,172,5:04:12,7:54,167,5:49:25,7:46,,
167,168,14001,Daniel Mitchell,5:51:42.2,7:49,M,68,Iron Mountian,MI,187,1:32:27,7:42,175,2:39:53,7:37,172,3:23:41,7:41,170,5:02:35,7:52,168,5:51:42,7:49,,
168,169,16438,Corey Hansen,5:53:20.8,7:51,M,49,De Pere,WI,173,1:28:20,7:22,170,2:37:26,7:30,169,3:19:34,7:32,168,5:01:16,7:50,169,5:53:21,7:51,,
169,170,14301,Beth Oestreich,5:55:13.7,7:53,F,41,Wausau,WI,177,1:28:59,7:25,172,2:38:06,7:32,174,3:26:23,7:47,171,5:03:37,7:53,170,5:55:14,7:53,,
170,171,14126,Benjamin Fornear,5:55:32.0,7:54,M,42,Duluth,MN,170,1:26:54,7:14,169,2:37:22,7:30,170,3:20:49,7:35,169,5:02:27,7:52,171,5:55:32,7:54,,
171,172,13564,Carl Branch,5:57:31.4,7:57,M,24,Madison,WI,150,1:17:18,6:26,150,2:22:29,6:47,154,3:04:41,6:58,164,4:52:58,7:37,172,5:57:31,7:57,,
172,173,15410,Marisa Rudolph,5:59:12.2,7:59,F,25,Fort Collins,CO,175,1:28:49,7:24,173,2:39:08,7:35,173,3:26:14,7:47,174,5:07:12,7:58,173,5:59:12,7:59,,
173,174,12350,Ian MacKay,5:59:48.2,8:00,M,20,Minneapolis,MN,133,1:10:01,5:50,145,2:16:43,6:31,145,2:58:20,6:44,173,5:04:46,7:55,174,5:59:48,8:00,,
174,175,14418,Isaac Stouffer,6:02:09.3,8:03,M,41,New Auburn,WI,194,1:36:22,8:02,180,2:41:59,7:43,180,3:32:43,8:02,177,5:08:57,8:02,175,6:02:09,8:03,,
175,176,15347,Anton Johansen,6:06:09.5,8:08,M,49,Whitefish Bay,WI,202,1:38:49,8:14,185,2:45:16,7:52,181,3:32:49,8:02,179,5:13:45,8:09,176,6:06:10,8:08,,
176,177,14019,Steven Schmitz,6:06:26.1,8:08,M,60,Waupun,WI,172,1:27:48,7:19,174,2:39:38,7:36,171,3:23:28,7:40,178,5:11:32,8:05,177,6:06:26,8:08,,
177,178,14461,Krista Paintner-Rudolph,6:08:02.8,8:11,F,51,Fort Collins,CO,198,1:37:41,8:08,189,2:47:47,7:59,188,3:35:09,8:07,180,5:16:14,8:13,178,6:08:03,8:11,,
178,179,13554,Cullen White,6:09:24.3,8:13,M,23,Duluth,MN,164,1:23:24,6:57,164,2:31:06,7:12,167,3:14:51,7:21,189,5:24:55,8:26,179,6:09:24,8:13,,
179,180,14014,Jimmy Vandenbrook,6:11:07.3,8:15,M,69,Mount Horeb,WI,186,1:32:22,7:42,177,2:41:30,7:42,187,3:35:05,8:07,182,5:19:20,8:18,180,6:11:07,8:15,,
180,181,13340,Karl Timm,6:11:21.2,8:15,M,64,Oconomowoc,WI,231,2:09:13,10:46,223,3:13:49,9:14,209,3:56:51,8:56,188,5:24:54,8:26,181,6:11:21,8:15,,
181,182,12487,Knut Ronnevik,6:11:48.4,8:16,M,40,Fergus Falls,MN,165,1:23:42,6:58,208,3:00:36,8:36,199,3:44:13,8:28,187,5:22:49,8:23,182,6:11:48,8:16,,
182,183,14101,Carole Mueller-Brumbaugh,6:12:11.5,8:16,F,66,Grayling,MI,193,1:36:04,8:00,197,2:53:30,8:16,195,3:39:40,8:17,185,5:21:14,8:21,183,6:12:12,8:16,,
183,184,15394,Matthew Revak,6:16:10.3,8:21,M,31,Duluth,MN,200,1:37:55,8:10,190,2:48:59,8:03,193,3:39:01,8:16,186,5:22:03,8:22,184,6:16:10,8:21,,
184,185,14450,Thomas Dettle,6:16:37.3,8:22,M,56,Sarona,WI,184,1:31:41,7:39,176,2:41:25,7:41,178,3:30:27,7:57,183,5:19:28,8:18,185,6:16:37,8:22,,
185,186,14449,Sarah Dettle,6:17:36.5,8:23,F,25,Madison,WI,189,1:32:52,7:44,178,2:41:37,7:42,176,3:28:52,7:53,176,5:07:56,8:00,186,6:17:37,8:23,,
186,187,12495,Samuel Dettle,6:17:39.6,8:23,M,21,Sarona,WI,188,1:32:41,7:44,179,2:41:45,7:42,177,3:29:27,7:54,175,5:07:54,8:00,187,6:17:40,8:23,,
187,188,14005,Steve Thon,6:18:25.0,8:25,M,69,Chippewa Falls,WI,182,1:30:51,7:34,181,2:44:31,7:50,185,3:34:21,8:05,193,5:26:20,8:28,188,6:18:25,8:25,,
188,189,14115,Robert Strand,6:18:29.6,8:25,M,54,Elk Mound,WI,178,1:30:15,7:31,183,2:44:32,7:50,184,3:34:07,8:05,192,5:26:19,8:28,189,6:18:30,8:25,,
189,190,13356,Timothy Neinfeldt,6:19:07.1,8:26,M,52,Elkhorn,WI,179,1:30:30,7:32,194,2:50:30,8:07,192,3:38:29,8:15,190,5:25:20,8:27,190,6:19:07,8:26,,
190,191,13368,Gary Graczyk,6:19:08.1,8:26,M,44,Mukwonago,WI,180,1:30:32,7:32,192,2:50:25,8:07,191,3:38:26,8:15,191,5:25:21,8:27,191,6:19:08,8:26,,
191,192,16356,Jamey Sharp,6:23:47.8,8:32,M,26,Dultuh,MN,201,1:38:03,8:10,196,2:53:17,8:15,190,3:37:56,8:13,184,5:20:23,8:20,192,6:23:48,8:32,,
192,193,14453,Jon Nymo,6:24:59.5,8:33,M,40,Edina,MN,195,1:36:29,8:02,184,2:44:43,7:50,183,3:33:01,8:02,181,5:18:47,8:17,193,6:25:00,8:33,,
193,194,14516,Adam Lund,6:25:04.2,8:33,M,40,Oak Park,IL,185,1:31:58,7:40,191,2:49:40,8:05,194,3:39:05,8:16,196,5:31:31,8:36,194,6:25:04,8:33,,
194,195,14440,Melanie Matchett,6:25:14.2,8:34,F,39,La Crosse,WI,211,1:46:29,8:53,203,2:55:07,8:20,189,3:37:19,8:12,200,5:33:03,8:39,195,6:25:14,8:34,,
195,196,15389,Eric Jeppson,6:25:23.6,8:34,M,56,Tempe,AZ,204,1:40:29,8:23,195,2:50:44,8:08,200,3:44:20,8:28,195,5:31:25,8:36,196,6:25:24,8:34,,
196,197,14487,Payton Buendorf,6:25:35.2,8:34,M,21,Maple Grove,MN,203,1:39:26,8:17,186,2:45:45,7:53,179,3:32:22,8:01,199,5:33:00,8:39,197,6:25:35,8:34,,
197,198,16390,Jennifer Djupedal,6:26:34.6,8:36,F,33,St. Louis Park,MN,210,1:44:40,8:43,205,2:57:21,8:26,202,3:46:12,8:32,194,5:30:29,8:35,198,6:26:35,8:36,,
198,199,12105,Daniel Gerdts,6:30:22.7,8:41,M,61,Minneapolis,MN,181,1:30:49,7:34,200,2:54:17,8:18,206,3:52:54,8:48,203,5:38:23,8:48,199,6:30:23,8:41,,
199,200,16317,Patrick Schmitt,6:36:29.1,8:49,M,37,Minneapolis,MN,192,1:35:03,7:55,198,2:54:05,8:17,196,3:40:08,8:18,197,5:31:47,8:37,200,6:36:29,8:49,,
200,201,13499,Cate McKinney,6:36:50.9,8:49,F,55,St. Paul,MN,183,1:30:59,7:35,202,2:54:23,8:18,207,3:52:57,8:48,204,5:38:25,8:48,201,6:36:51,8:49,,
201,202,16462,Joel Rynes,6:36:53.1,8:49,M,51,Arlington,VA,206,1:41:12,8:26,204,2:56:04,8:23,201,3:44:39,8:29,201,5:35:08,8:43,202,6:36:53,8:49,,
202,203,16302,Benjamin Greuel,6:37:08.5,8:49,M,38,Milwaukee,WI,191,1:35:00,7:55,199,2:54:15,8:18,197,3:40:44,8:20,198,5:31:50,8:37,203,6:37:09,8:49,,
203,204,16410,Maximilian Sommers,6:41:02.0,8:55,M,43,Plover,WI,205,1:41:00,8:25,201,2:54:23,8:18,198,3:41:49,8:22,202,5:35:53,8:43,204,6:41:02,8:55,,
204,205,13400,Paul McAleavy,6:44:35.3,8:59,M,56,Madison,WI,226,1:52:27,9:22,209,3:02:29,8:41,216,4:08:35,9:23,211,5:51:56,9:09,205,6:44:35,8:59,,
205,206,14383,Liam McAleavy,6:46:01.6,9:01,M,24,Madison,WI,227,1:53:12,9:26,214,3:06:52,8:54,218,4:09:16,9:24,208,5:48:10,9:02,206,6:46:02,9:01,,
206,207,15444,Chad Vandelune,6:47:09.4,9:03,M,50,Altoona,IA,208,1:44:10,8:41,206,2:58:13,8:29,204,3:49:07,8:39,205,5:43:21,8:55,207,6:47:09,9:03,,
207,208,15408,John Walker,6:47:18.7,9:03,M,50,Des Moines,IA,209,1:44:16,8:41,207,2:58:27,8:30,205,3:49:12,8:39,206,5:43:24,8:55,208,6:47:19,9:03,,
208,209,15473,David Alexander,6:47:40.6,9:04,M,68,Santa Monica,CA,214,1:47:45,8:59,211,3:05:19,8:49,213,4:00:15,9:04,207,5:47:40,9:02,209,6:47:41,9:04,,
209,210,13497,Andrew Kotila,6:52:43.1,9:11,M,42,Minneapolis,MN,168,1:25:56,7:09,193,2:50:25,8:07,203,3:47:36,8:35,209,5:48:36,9:03,210,6:52:43,9:11,,
210,211,15355,Beth Robelia,6:55:24.9,9:14,F,50,St. Paul,MN,219,1:48:09,9:01,213,3:06:33,8:53,208,3:55:26,8:53,210,5:51:26,9:07,211,6:55:25,9:14,,
211,212,15385,James Standefer,6:56:26.7,9:16,M,56,Tivoli,NY,228,1:58:19,9:52,228,3:24:09,9:43,223,4:11:56,9:30,213,6:00:24,9:22,212,6:56:27,9:16,,
212,213,14363,Yamuna Satsangi,6:57:21.5,9:17,F,21,Gaithersburg,MD,212,1:46:54,8:54,210,3:03:03,8:43,214,4:03:23,9:11,212,5:58:48,9:19,213,6:57:22,9:17,,
213,214,16454,Linda Kuhaupt,7:12:47.0,9:37,F,53,Neenah,WI,216,1:47:50,8:59,215,3:09:18,9:01,210,3:59:39,9:02,214,6:04:28,9:28,214,7:12:47,9:37,,
214,215,16468,Carrie Michiels,7:12:58.4,9:37,F,53,Appletion,WI,217,1:47:51,8:59,217,3:09:30,9:01,211,3:59:44,9:03,216,6:05:55,9:30,215,7:12:58,9:37,,
215,216,16456,Sarah Wright,7:13:01.1,9:37,F,53,Appleton,WI,215,1:47:50,8:59,216,3:09:24,9:01,212,3:59:50,9:03,215,6:04:52,9:29,216,7:13:01,9:37,,
216,217,15414,Stephen Skinner,7:13:04.5,9:37,M,58,Madison,WI,224,1:51:21,9:17,220,3:12:12,9:09,220,4:09:44,9:25,220,6:08:35,9:34,217,7:13:05,9:37,,
217,218,15383,Gregory Miller,7:14:36.0,9:40,M,63,Waterford,WI,221,1:48:54,9:04,218,3:09:55,9:02,222,4:10:38,9:27,221,6:09:18,9:35,218,7:14:36,9:40,,
218,219,15308,Scott Clippinger,7:15:37.8,9:41,M,60,Marshall,WI,223,1:50:35,9:13,219,3:11:54,9:08,217,4:09:04,9:24,218,6:07:59,9:34,219,7:15:38,9:41,,
219,220,15302,Cheri Carr,7:16:08.5,9:42,F,58,Marshall,WI,225,1:51:29,9:17,221,3:12:41,9:11,219,4:09:40,9:25,219,6:08:32,9:34,220,7:16:09,9:42,,
220,221,16471,Mike Prescott,7:17:17.7,9:43,M,46,Brookfield,WI,220,1:48:28,9:02,225,3:16:20,9:21,221,4:10:03,9:26,217,6:06:06,9:30,221,7:17:18,9:43,,
221,222,16412,Steven Kern,7:22:21.6,9:50,M,53,Champlin,MN,213,1:47:03,8:55,222,3:12:57,9:11,215,4:04:53,9:14,222,6:11:34,9:39,222,7:22:22,9:50,,
222,223,15373,Peter Dulon,7:31:53.6,10:03,M,33,Prior Lake,MN,230,2:08:27,10:42,229,3:28:09,9:55,226,4:17:52,9:44,223,6:26:54,10:03,223,7:31:54,10:03,,
223,227,13537,Peter Goodwin,DNF,N/A,M,20,North Oaks,MN,109,1:06:17,5:31,103,1:59:51,5:42,105,2:38:35,5:59,140,4:30:53,7:02,,,,,
224,228,16455,Lisa Dorschner,DNF,N/A,F,54,Oshkosh,WI,222,1:50:17,9:11,224,3:16:13,9:20,224,4:15:28,9:38,,,,,,,,
225,229,16475,Stephen Franklin,DNF,N/A,M,51,Appleton,WI,229,1:58:21,9:52,226,3:18:03,9:26,225,4:17:03,9:42,,,,,,,,
226,230,16341,Joe Graczyk,DNF,N/A,M,51,Waterford,WI,218,1:47:55,8:59,227,3:19:49,9:31,227,4:25:05,10:00,,,,,,,,
227,231,15318,Greg Dulon,DNF,N/A,M,35,Hudson,WI,232,2:09:19,10:47,230,3:41:17,10:33,228,4:46:14,10:48,,,,,,,,
228,232,15417,Jessica Standefer,DNF,N/A,F,58,Lino Lakes,MN,233,2:20:34,11:43,231,3:58:37,11:22,229,4:57:52,11:14,,,,,,,,
229,233,15447,Eric Carlson,DNF,N/A,M,40,Bemidji,MN,197,1:37:41,8:08,182,2:44:31,7:50,,,,,,,,,,,
230,234,15466,Tony Grundhauser,DNF,N/A,M,54,Saint Paul,MN,199,1:37:53,8:10,212,3:06:02,8:51,,,,,,,,,,,
